timestamp,bid,ask
2025-04-20 22:37:35.429266,18274.7,18278.85
2025-04-20 22:37:35.703369,18276.33,18279.23
2025-04-20 22:37:36.067170,18275.79,18278.69
2025-04-20 22:37:36.774986,18276.77,18279.42
2025-04-20 22:37:37.937823,18278.08,18280.98
2025-04-20 22:37:38.907826,18277.78,18280.93
2025-04-20 22:37:40.519618,18277.54,18280.94
2025-04-20 22:37:41.132191,18277.58,18281.23
2025-04-20 22:37:42.112836,18278.28,18281.18
2025-04-20 22:37:42.369614,18278.54,18281.19
2025-04-20 22:37:43.198770,18277.78,18280.93
2025-04-20 22:37:43.702654,18278.06,18280.96
2025-04-20 22:37:44.498417,18278.08,18281.23
2025-04-20 22:37:45.097605,18278.33,18281.23
2025-04-20 22:37:46.253825,18278.79,18281.19
2025-04-20 22:37:46.363517,18278.53,18281.18
2025-04-20 22:37:47.118940,18278.08,18279.13
2025-04-20 22:37:49.445193,18278.57,18281.22
2025-04-20 22:37:53.260729,18279.32,18281.22
2025-04-20 22:37:53.587574,18280.02,18282.42
2025-04-20 22:37:53.886827,18279.56,18282.46
2025-04-20 22:37:58.299199,18279.32,18282.47
2025-04-20 22:37:58.938604,18279.28,18282.18
2025-04-20 22:38:00.875205,18278.03,18281.68
2025-04-20 22:38:02.129088,18277.08,18281.23
2025-04-20 22:38:02.462004,18276.81,18280.21
2025-04-20 22:38:02.742347,18277.08,18280.23
2025-04-20 22:38:19.256885,18277.58,18280.48
2025-04-20 22:38:20.213395,18277.32,18280.22
2025-04-20 22:38:20.539363,18276.77,18280.17
2025-04-20 22:38:20.963629,18277.02,18280.17
2025-04-20 22:38:21.726296,18277.04,18279.94
2025-04-20 22:38:22.805376,18277.04,18280.19
2025-04-20 22:38:24.078115,18277.56,18280.21
2025-04-20 22:38:24.525238,18277.81,18279.96
2025-04-20 22:38:26.444313,18277.33,18279.98
2025-04-20 22:38:28.315815,18280.71,18281.76
2025-04-20 22:38:29.477743,18281.02,18283.67
2025-04-20 22:38:30.171954,18280.56,18283.71
2025-04-20 22:38:30.465096,18280.82,18283.97
2025-04-20 22:38:31.131219,18281.04,18284.19
2025-04-20 22:38:31.609156,18281.33,18284.23
2025-04-20 22:38:31.862863,18281.06,18284.21
2025-04-20 22:38:33.289827,18282.78,18284.18
2025-04-20 22:38:34.198902,18283.02,18285.67
2025-04-20 22:38:36.598065,18282.83,18285.73
2025-04-20 22:38:36.844553,18283.06,18285.71
2025-04-20 22:38:38.165303,18282.81,18285.71
2025-04-20 22:38:38.664201,18282.77,18285.42
2025-04-20 22:38:39.020959,18281.77,18285.42
2025-04-20 22:38:39.366915,18280.31,18283.96
2025-04-20 22:38:41.488567,18280.27,18283.67
2025-04-20 22:38:42.960758,18281.07,18282.72
2025-04-20 22:38:43.570636,18279.27,18282.17
2025-04-20 22:38:45.234327,18278.83,18280.73
2025-04-20 22:38:45.344906,18281.27,18284.17
2025-04-20 22:38:46.189339,18281.58,18284.48
2025-04-20 22:38:46.719460,18282.33,18285.23
2025-04-20 22:43:52.132848,18270.29,18273.44
2025-04-20 22:43:54.245209,18272.62,18273.67
2025-04-20 22:43:54.655574,18271.28,18273.93
2025-04-20 22:43:55.449487,18271.06,18273.71
2025-04-20 22:43:57.611169,18271.08,18273.98
2025-04-20 22:43:58.899174,18271.54,18273.94
2025-04-20 22:43:59.475538,18271.31,18273.96
2025-04-20 22:44:00.128235,18270.83,18273.48
2025-04-20 22:44:01.326646,18269.41,18273.56
2025-04-20 22:44:01.605580,18269.52,18272.42
2025-04-20 22:44:01.793914,18269.52,18273.17
2025-04-20 22:44:02.947617,18269.27,18273.17
2025-04-20 22:44:03.563260,18269.53,18273.18
2025-04-20 22:44:03.862509,18269.82,18273.22
2025-04-20 22:44:05.431141,18268.92,18273.07
2025-04-20 22:44:06.589650,18268.79,18272.94
2025-04-20 22:44:07.073940,18269.02,18272.67
2025-04-20 22:44:08.588535,18269.82,18272.97
